# theta, omega
1.753527814382808137e-01 -2.083450187943650900e-06
1.762208645147079478e-01 -2.049200215316665218e-06
1.770889475911350819e-01 -2.013095943093053816e-06
1.779570306675622160e-01 -1.977657396130360666e-06
1.788251137439893501e-01 -1.945132883708837170e-06
1.796931968204164565e-01 -1.909211220955944351e-06
1.805612798968435906e-01 -1.876638368449930571e-06
1.814293629732707247e-01 -1.843740715979401556e-06
1.822974460496978588e-01 -1.809623471435236569e-06
1.831655291261249929e-01 -1.779606217071690196e-06
1.840336122025521270e-01 -1.746873957682995308e-06
1.849016952789792612e-01 -1.716018464890092102e-06
1.857697783554063953e-01 -1.686603134582981240e-06
1.866378614318335294e-01 -1.654439059120921694e-06
1.875059445082606635e-01 -1.626127268868538908e-06
1.883740275846877976e-01 -1.596383160481012627e-06
1.892421106611149317e-01 -1.566891445032307078e-06
1.901101937375420659e-01 -1.540627906392859307e-06
1.909782768139692000e-01 -1.511484448173420011e-06
1.918463598903963341e-01 -1.485230147551238000e-06
1.927144429668234682e-01 -1.459100242583660718e-06
1.935825260432506023e-01 -1.431415383338860583e-06
1.944506091196777364e-01 -1.407606821173422318e-06
1.953186921961048705e-01 -1.381705351842127223e-06
1.961867752725320047e-01 -1.357428129677975959e-06
1.970548583489591110e-01 -1.335202097218100636e-06
1.979229414253862451e-01 -1.310492041738090769e-06
1.987910245018133792e-01 -1.289257508540021731e-06
1.996591075782405134e-01 -1.267049813515999836e-06
2.005271906546676475e-01 -1.244664165512433384e-06
2.013952737310947816e-01 -1.225620896102060859e-06
2.022633568075219157e-01 -1.204216185532341570e-06
2.031314398839490498e-01 -1.185430184486004556e-06
2.039995229603761839e-01 -1.167346078742914276e-06
2.048676060368033180e-01 -1.147543290237450163e-06
2.057356891132304522e-01 -1.131243286678204000e-06
2.066037721896575863e-01 -1.113128541715291018e-06
2.074718552660847204e-01 -1.096069607673755362e-06
2.083399383425118545e-01 -1.081306294179152857e-06
2.092080214189389886e-01 -1.064239623876991829e-06
2.100761044953661227e-01 -1.050256462530432109e-06
2.109441875717932569e-01 -1.035645385781188498e-06
2.118122706482203910e-01 -1.020285515393002399e-06
2.126803537246475251e-01 -1.007943793280497561e-06
2.135484368010746592e-01 -9.933173781897934232e-07
2.144165198775017656e-01 -9.807121516842310104e-07
2.152846029539288997e-01 -9.691230659992200843e-07
2.161526860303560338e-01 -9.556710625684305445e-07
2.170207691067831679e-01 -9.453179243998345810e-07
2.178888521832103020e-01 -9.333044366568236759e-07
2.187569352596374361e-01 -9.216076049245905090e-07
2.196250183360645702e-01 -9.120826789507370690e-07
2.204931014124917044e-01 -9.002244150997597535e-07
2.213611844889188385e-01 -8.909774634161622261e-07
2.222292675653459726e-01 -8.814606580831364535e-07
2.230973506417731067e-01 -8.708153798266069374e-07
2.239654337182002408e-01 -8.628803168491522134e-07
2.248335167946273749e-01 -8.526715335388047255e-07
2.257015998710545090e-01 -8.437607999358706821e-07
2.265696829474816432e-01 -8.359637859796185329e-07
2.274377660239087773e-01 -8.261753923603417030e-07
2.283058491003359114e-01 -8.191725449090739411e-07
2.291739321767630455e-01 -8.108197079444421065e-07
2.300420152531901796e-01 -8.022460761761476816e-07
2.309100983296172860e-01 -7.956880535605067198e-07
2.317781814060444201e-01 -7.867073213432747178e-07
2.326462644824715542e-01 -7.797693467248062091e-07
2.335143475588986883e-01 -7.728442686581425895e-07
2.343824306353258224e-01 -7.645780599295199617e-07
2.352505137117529566e-01 -7.588793728081818504e-07
2.361185967881800907e-01 -7.511138350574616518e-07
2.369866798646072248e-01 -7.440631558603877618e-07
2.378547629410343589e-01 -7.381527210982599506e-07
2.387228460174614930e-01 -7.301034621336737284e-07
2.395909290938886271e-01 -7.245007373061999049e-07
2.404590121703157612e-01 -7.179292655433056774e-07
2.413270952467428954e-01 -7.108504313636631315e-07
2.421951783231700295e-01 -7.057945803989240497e-07
2.430632613995971636e-01 -6.983863990825427874e-07
2.439313444760242977e-01 -6.924941180512952414e-07
2.447994275524514318e-01 -6.868046596434409503e-07
2.456675106288785659e-01 -6.795857319009841136e-07
2.465355937053057001e-01 -6.748239017406533049e-07
2.474036767817328342e-01 -6.683582298011570260e-07
2.482717598581599405e-01 -6.622580760249548192e-07
2.491398429345870746e-01 -6.574140985001212313e-07
2.500079260110142365e-01 -6.503594985359931188e-07
2.508760090874413429e-01 -6.453606638322496012e-07
2.517440921638685047e-01 -6.396937230094031096e-07
2.526121752402956111e-01 -6.333026854476821502e-07
2.534802583167227730e-01 -6.290150990241252584e-07
2.543483413931498793e-01 -6.226299629597567588e-07
2.552164244695770412e-01 -6.173903736712294869e-07
2.560845075460041476e-01 -6.125451919850126968e-07
2.569525906224312539e-01 -6.059854879916843398e-07
2.578206736988584158e-01 -6.016763701953479655e-07
2.586887567752855221e-01 -5.959975980690279559e-07
2.595568398517126840e-01 -5.904421974466294226e-07
2.604249229281397904e-01 -5.863445716523312071e-07
2.612930060045669522e-01 -5.801220366116921053e-07
2.621610890809940586e-01 -5.756129054115247703e-07
2.630291721574212205e-01 -5.706668395157693554e-07
2.638972552338483268e-01 -5.647425724818801399e-07
2.647653383102754887e-01 -5.609118302680968655e-07
2.656334213867025951e-01 -5.552790859893402489e-07
2.665015044631297569e-01 -5.505461758504392487e-07
2.673695875395568633e-01 -5.464761797021291847e-07
2.682376706159840252e-01 -5.406147942670470893e-07
2.691057536924111315e-01 -5.367616850185054676e-07
2.699738367688382934e-01 -5.317918486118201625e-07
2.708419198452653998e-01 -5.266820921938106877e-07
2.717100029216925616e-01 -5.231979754348136560e-07
2.725780859981196680e-01 -5.177860855938655650e-07
2.734461690745468299e-01 -5.138606480999285449e-07
2.743142521509739362e-01 -5.097755930338978921e-07
2.751823352274010426e-01 -5.045002798410205526e-07
2.760504183038282044e-01 -5.012112142647873525e-07
2.769185013802553108e-01 -4.963503427421301310e-07
2.777865844566824727e-01 -4.921449023943645171e-07
2.786546675331095790e-01 -4.888811525893086850e-07
2.795227506095367409e-01 -4.838768686326684794e-07
2.803908336859638473e-01 -4.806941914779706411e-07
2.812589167623910091e-01 -4.766379076683049617e-07
2.821269998388181155e-01 -4.721521306916008132e-07
2.829950829152452774e-01 -4.693373752942072059e-07
2.838631659916723837e-01 -4.647689334851398603e-07
2.847312490680995456e-01 -4.614891427035916726e-07
2.855993321445266520e-01 -4.583710058630963849e-07
2.864674152209538138e-01 -4.539613876549631694e-07
2.873354982973809202e-01 -4.514192348689284601e-07
2.882035813738080821e-01 -4.474870076565355957e-07
2.890716644502351884e-01 -4.439037263437101553e-07
2.899397475266623503e-01 -4.414386551180626871e-07
2.908078306030894566e-01 -4.373134601093588828e-07
2.916759136795165630e-01 -4.348662420631717193e-07
2.925439967559437249e-01 -4.318385137384908500e-07
2.934120798323708312e-01 -4.281531689681035318e-07
2.942801629087979931e-01 -4.261117330458661279e-07
2.951482459852250995e-01 -4.224289436396073190e-07
2.960163290616522613e-01 -4.197743188275308602e-07
2.968844121380793677e-01 -4.175536130896442567e-07
2.977524952145065296e-01 -4.140180702428556596e-07
2.986205782909336359e-01 -4.122743660896099785e-07
2.994886613673607978e-01 -4.093625042122912174e-07
3.003567444437879042e-01 -4.065004227827663234e-07
3.012248275202150660e-01 -4.048301939328395732e-07
3.020929105966421724e-01 -4.015355416561256497e-07
3.029609936730693343e-01 -3.997360770325100393e-07
3.038290767494964406e-01 -3.976569559768460875e-07
3.046971598259236025e-01 -3.947868282795836438e-07
3.055652429023507088e-01 -3.935499510969795098e-07
3.064333259787778707e-01 -3.907947079210806690e-07
3.073014090552049771e-01 -3.887619094407199094e-07
3.081694921316320834e-01 -3.873298714816171337e-07
3.090375752080592453e-01 -3.845463179522730517e-07
3.099056582844863517e-01 -3.834675374972406242e-07
3.107737413609135135e-01 -3.814895154252078373e-07
3.116418244373406199e-01 -3.793396540376488903e-07
3.125099075137677818e-01 -3.784328586825671265e-07
3.133779905901948881e-01 -3.759194270353741405e-07
3.142460736666220500e-01 -3.746435528577328716e-07
3.151141567430491564e-01 -3.733118443336552424e-07
3.159822398194763182e-01 -3.710777289405371544e-07
3.168503228959034246e-01 -3.704726173906932837e-07
3.177184059723305865e-01 -3.685276216980856755e-07
3.185864890487576928e-01 -3.670281691290633105e-07
3.194545721251848547e-01 -3.662316794015107896e-07
3.203226552016119610e-01 -3.640085179495583534e-07
3.211907382780391229e-01 -3.633247768397599657e-07
3.220588213544662293e-01 -3.619842770240401910e-07
3.229269044308933911e-01 -3.603070398231249998e-07
3.237949875073204975e-01 -3.599471947235029619e-07
3.246630705837476594e-01 -3.580558741940652337e-07
3.255311536601747657e-01 -3.571359134858221836e-07
3.263992367366018721e-01 -3.563142305936621364e-07
3.272673198130290340e-01 -3.544551947396228653e-07
3.281354028894561403e-01 -3.541740759039035993e-07
3.290034859658833022e-01 -3.527634295645610530e-07
3.298715690423104085e-01 -3.515922892038999206e-07
3.307396521187375704e-01 -3.512435575498366671e-07
3.316077351951646768e-01 -3.494255432956115388e-07
3.324758182715918386e-01 -3.489296666771562490e-07
3.333439013480189450e-01 -3.479525386412830168e-07
3.342119844244461069e-01 -3.464631906818768464e-07
3.350800675008732132e-01 -3.463437414530784870e-07
3.359481505773003751e-01 -3.448280985220604263e-07
3.368162336537274815e-01 -3.440665459227533487e-07
3.376843167301546433e-01 -3.435499145187634044e-07
3.385523998065817497e-01 -3.418625801990801195e-07
3.394204828830089116e-01 -3.416303006893548513e-07
3.402885659594360179e-01 -3.404447290355742176e-07
3.411566490358631798e-01 -3.393131459370450332e-07
3.420247321122902862e-01 -3.391381944786165142e-07
3.428928151887173925e-01 -3.375304995232956205e-07
3.437608982651445544e-01 -3.370497879991602619e-07
3.446289813415716607e-01 -3.362406403970478495e-07
3.454970644179988226e-01 -3.347286605813887408e-07
3.463651474944259290e-01 -3.345743334628604185e-07
3.472332305708530908e-01 -3.331687691223671900e-07
3.481013136472801972e-01 -3.323434375971261436e-07
3.489693967237073591e-01 -3.319454541861029634e-07
3.498374798001344654e-01 -3.303161259946453605e-07
3.507055628765616273e-01 -3.300094423912279640e-07
3.515736459529887337e-01 -3.289009887602511637e-07
3.524417290294158955e-01 -3.276489828612699420e-07
3.533098121058430019e-01 -3.274560775728924864e-07
3.541778951822701638e-01 -3.259233447626541754e-07
3.550459782586972701e-01 -3.253770353872356276e-07
3.559140613351244320e-01 -3.246951915555528841e-07
3.567821444115515384e-01 -3.231656259640008516e-07
3.576502274879787002e-01 -3.229400955929406183e-07
3.585183105644058066e-01 -3.215858736039475354e-07
3.593863936408329129e-01 -3.206291422078106307e-07
3.602544767172600748e-01 -3.202768647374515135e-07
3.611225597936871812e-01 -3.187039871890647141e-07
3.619906428701143430e-01 -3.183529642672188245e-07
3.628587259465414494e-01 -3.173677135058309282e-07
3.637268090229686113e-01 -3.160423827385964524e-07
3.645948920993957176e-01 -3.158132515023984361e-07
3.654629751758228795e-01 -3.143258817985706687e-07
3.663310582522499859e-01 -3.136849137510686355e-07
3.671991413286771477e-01 -3.131225728426065119e-07
3.680672244051042541e-01 -3.116395697384416045e-07
3.689353074815314160e-01 -3.114129877179721152e-07
3.698033905579585223e-01 -3.101799166296410961e-07
3.706714736343856842e-01 -3.091374061478615531e-07
3.715395567108127906e-01 -3.088189934885661507e-07
3.724076397872399524e-01 -3.073059741520223738e-07
3.732757228636670588e-01 -3.069267581692480372e-07
3.741438059400942207e-01 -3.061163329446546322e-07
3.750118890165213270e-01 -3.048178568378299382e-07
3.758799720929484889e-01 -3.046243786051810426e-07
3.767480551693755952e-01 -3.032365280945829407e-07
3.776161382458027016e-01 -3.025153713642517242e-07
3.784842213222298635e-01 -3.020518360830348758e-07
3.793523043986569698e-01 -3.006340965684253298e-07
3.802203874750841317e-01 -3.004444704228653943e-07
3.810884705515112381e-01 -2.994100863527032486e-07
3.819565536279383999e-01 -2.983796297762011735e-07
3.828246367043655063e-01 -2.981473684084541510e-07
3.836927197807926682e-01 -2.967324370018409038e-07
3.845608028572197745e-01 -2.963332354655818134e-07
3.854288859336469364e-01 -2.957090056848095507e-07
3.862969690100740427e-01 -2.945068181402689270e-07
3.871650520865012046e-01 -2.944364786900621419e-07
3.880331351629283110e-01 -2.932672294315961473e-07
3.889012182393554728e-01 -2.925739994833692837e-07
3.897693013157825792e-01 -2.922661428353777113e-07
3.906373843922097411e-01 -2.909654063983226719e-07
3.915054674686368474e-01 -2.908460291180478404e-07
3.923735505450640093e-01 -2.900711946344161296e-07
3.932416336214911157e-01 -2.891620471099171269e-07
3.941097166979182220e-01 -2.891211521965272948e-07
3.949777997743453839e-01 -2.879167154604500698e-07
3.958458828507724903e-01 -2.875684933308802517e-07
3.967139659271996521e-01 -2.871568044202714760e-07
3.975820490036267585e-01 -2.860857304253661933e-07
3.984501320800539204e-01 -2.861694417749151970e-07
3.993182151564810267e-01 -2.852920850487213635e-07
4.001862982329081886e-01 -2.847271740802475855e-07
4.010543813093352949e-01 -2.846512563334211801e-07
4.019224643857624568e-01 -2.835332863874995279e-07
4.027905474621895632e-01 -2.834970642216620186e-07
4.036586305386167250e-01 -2.829725514249565765e-07
4.045267136150438314e-01 -2.821976739850891021e-07
4.053947966914709933e-01 -2.823661721259535252e-07
4.062628797678980996e-01 -2.814303938681185576e-07
4.071309628443252615e-01 -2.811867462243010414e-07
4.079990459207523679e-01 -2.810013115555355905e-07
4.088671289971795297e-01 -2.800549711004804508e-07
4.097352120736066361e-01 -2.802386111305865043e-07
4.106032951500337425e-01 -2.796057152482813654e-07
4.114713782264609043e-01 -2.791517183703429149e-07
4.123394613028880107e-01 -2.792985216421967179e-07
4.132075443793151726e-01 -2.783831674159018417e-07
4.140756274557422789e-01 -2.784203378480884885e-07
4.149437105321694408e-01 -2.780990563041469781e-07
4.158117936085965471e-01 -2.773989188327407237e-07
4.166798766850237090e-01 -2.776921101077852317e-07
4.175479597614508154e-01 -2.769755305837259997e-07
4.184160428378779772e-01 -2.768148678260869621e-07
4.192841259143050836e-01 -2.768365115633404694e-07
4.201522089907322455e-01 -2.760043437750747070e-07
4.210202920671593518e-01 -2.762278983384525323e-07
4.218883751435865137e-01 -2.757518102965719292e-07
4.227564582200136201e-01 -2.753168150205153962e-07
4.236245412964407819e-01 -2.755881353762060894e-07
4.244926243728678883e-01 -2.748222068170248764e-07
4.253607074492950502e-01 -2.748889687451089536e-07
4.262287905257221565e-01 -2.747169674847805902e-07
4.270968736021493184e-01 -2.740269629170974120e-07
4.279649566785764248e-01 -2.743283923788563826e-07
4.288330397550035311e-01 -2.737109665921435718e-07
4.297011228314306930e-01 -2.735250077262860528e-07
4.305692059078577993e-01 -2.736612431391490233e-07
4.314372889842849612e-01 -2.728988400073560470e-07
4.323053720607120676e-01 -2.731118011502283971e-07
4.331734551371392294e-01 -2.727305393108507989e-07
4.340415382135663358e-01 -2.722387338880516999e-07
4.349096212899934977e-01 -2.725264129916833315e-07
4.357777043664206040e-01 -2.718296308363266633e-07
4.366457874428477659e-01 -2.718711205602277484e-07
4.375138705192748723e-01 -2.718221625505881603e-07
4.383819535957020341e-01 -2.711523915635935222e-07
4.392500366721291405e-01 -2.714485204827934177e-07
4.401181197485563024e-01 -2.709058307990502210e-07
4.409862028249834087e-01 -2.706563292271451072e-07
4.418542859014105706e-01 -2.708572215848296193e-07
4.427223689778376770e-01 -2.701579265042141751e-07
4.435904520542648388e-01 -2.703721633068824882e-07
4.444585351306919452e-01 -2.701166585701478687e-07
4.453266182071190515e-01 -2.696046645174684250e-07
4.461947012835462134e-01 -2.699010661581787480e-07
4.470627843599733198e-01 -2.692535847473781279e-07
4.479308674364004816e-01 -2.692349103482102745e-07
4.487989505128275880e-01 -2.692775866656712467e-07
4.496670335892547499e-01 -2.686385179963505845e-07
4.505351166656818562e-01 -2.689408931573292578e-07
4.514031997421090181e-01 -2.684892993761464627e-07
4.522712828185361245e-01 -2.681744679405869452e-07
4.531393658949632863e-01 -2.683944709020052783e-07
